Feature\Product;0;1;2;3;4;5;6;7;
JHipster;X;X;X;X;X;X;X;X;
Hibernate2ndLvlCache;-;X;X;-;-;-;-;-;
HazelCast;-;-;X;-;-;-;-;-;
EhCache;-;X;-;-;-;-;-;-;
Server;X;-;-;X;-;-;X;X;
MicroserviceApplication;-;-;-;X;-;-;X;X;
UaaServer;X;-;-;-;-;-;-;-;
BackEnd;X;X;X;X;X;X;X;X;
Gradle;-;-;X;X;X;X;X;X;
Maven;X;X;-;-;-;-;-;-;
Generator;X;X;X;X;X;X;X;X;
Authentication;X;X;X;X;X;X;X;X;
SocialLogin;-;X;-;-;-;-;-;-;
Database;X;X;X;-;X;X;X;X;
SpringWebSockets;-;X;-;-;-;-;-;-;
Libsass;-;X;-;-;-;-;-;-;
ClusteredSession;-;X;-;-;-;-;-;-;
InternationalizationSupport;-;X;-;-;-;-;-;-;
Docker;-;X;-;-;-;-;-;-;
TestingFrameworks;X;X;X;X;X;X;X;X;
Production;-;X;X;-;X;X;-;X;
MySQL;-;-;X;-;-;-;-;-;
MariaDB;-;-;-;-;X;-;-;X;
PostgreSQL;-;X;-;-;-;X;-;-;
SQL;-;X;X;-;X;X;-;X;
Cassandra;X;-;-;-;-;-;-;-;
MongoDB;-;-;-;-;-;-;X;-;
Development;-;X;X;-;X;X;-;X;
H2;-;X;-;-;X;-;-;-;
PostgreSQLDev;-;-;-;-;-;X;-;-;
MariaDBDev;-;-;-;-;-;-;-;X;
MySQLDev;-;-;X;-;-;-;-;-;
DiskBased;-;-;-;-;X;-;-;-;
InMemory;-;X;-;-;-;-;-;-;
ElasticSearch;-;X;-;-;-;-;-;-;
HTTPSession;-;-;-;-;-;X;-;-;
OAuth2;-;-;X;-;-;-;-;-;
Uaa;X;-;-;X;X;-;X;X;
JWT;-;X;-;-;-;-;-;-;
Protractor;-;X;X;-;X;X;-;-;
Gatling;X;X;X;X;X;X;X;X;
Cucumber;X;X;X;X;X;X;X;X;
Application;-;X;X;-;X;X;-;-;
MicroserviceGateway;-;-;-;-;X;-;-;-;
Monolithic;-;X;X;-;-;X;-;-;
